,POLICYNO,PLCYDATE,CLM_FREQ5,CLM_AMT5,CLM_AMT,KIDSDRIV,TRAVTIME,CAR_USE,BLUEBOOK,RETAINED,NPOLICY,CAR_TYPE,RED_CAR,REVOLKED,MVR_PTS,CLM_FLAG,AGE,HOMEKIDS,YOJ,INCOME,GENDER,MARRIED,PARENT1,JOBCLASS,MAX_EDUC,HOME_VAL,SAMEHOME,AREA,IN_YY
32,00343830,9842.0,0,0,0,0,27,Private,16830,9,3,SUV,no,No,2,No,33,1,13,79606,F,Yes,No,Professional,Bachelors,225962,15,Rural,0
33,00344783,9627.0,0,0,4486,0,26,Private,10030,1,1,SUV,no,No,0,Yes,32,1,9,31275,F,Yes,No,Clerical,High School,118160,1,Urban,1
34,00365376,10575.0,0,0,0,1,16,Private,22090,17,3,Sedan,no,No,0,No,44,2,17,45488,M,Yes,No,Manager,Bachelors,219378,12,Urban,0
35,00375913,9271.0,0,0,0,0,26,Private,12220,6,1,SUV,no,No,3,No,35,0,8,72193,F,No,No,Clerical,Bachelors,0,12,Urban,0
36,00383525,9713.0,2,38127,0,0,15,Private,14130,6,3,SUV,no,Yes,4,No,40,2,0,-2147483648,F,Yes,No,Home Maker,Masters,98777,12,Rural,0
37,00421128,8864.0,0,0,4901,0,27,Commercial,24000,4,1,Panel Truck,no,No,5,Yes,54,0,12,33212,M,Yes,No,Blue Collar,<High School,158432,-2147483648,Urban,0
38,00422035,9552.0,0,0,0,0,30,Private,15880,1,3,Sedan,no,No,1,No,49,0,5,49244,M,Yes,No,Clerical,Bachelors,163444,1,Urban,1
39,00427058,10087.0,0,0,0,2,5,Commercial,27200,4,2,Sedan,no,No,0,No,36,2,12,130540,F,No,Yes,Blue Collar,Bachelors,344195,9,Rural,0
40,00459103,9848.0,0,0,0,0,37,Private,1500,4,2,SUV,no,No,1,No,52,0,8,51278,F,Yes,No,Professional,Bachelors,230340,10,Urban,0
41,00479082,9880.0,2,1431,0,0,12,Commercial,25810,6,1,Panel Truck,no,No,5,No,41,0,7,92842,M,No,No,Unknown,Masters,286113,15,Urban,0
42,00492179,9963.0,0,0,0,0,38,Commercial,16640,4,3,Van,yes,No,0,No,39,0,10,35081,M,Yes,No,Blue Collar,Bachelors,202839,13,Urban,0
43,00508057,9331.0,0,0,0,0,65,Private,13220,1,1,Sedan,no,No,0,No,56,0,0,0,F,Yes,No,Home Maker,PhD,63827,12,Rural,1
44,00512677,8856.0,0,0,0,0,18,Private,17900,1,1,Sedan,no,No,0,No,49,0,12,115044,F,No,No,Doctor,PhD,311980,14,Urban,1
45,00517349,10540.0,0,0,0,0,47,Private,12080,1,1,SUV,no,No,2,No,38,0,11,37754,F,Yes,No,Clerical,High School,138823,9,Rural,1
46,00536131,9378.0,0,0,0,0,38,Commercial,29450,6,2,Van,no,No,0,No,43,2,17,145353,F,Yes,No,Unknown,Masters,418785,15,Urban,0
47,00547948,9925.0,0,0,0,0,22,Private,34150,4,3,Sports Car,no,No,3,No,50,0,8,167469,F,No,No,Doctor,PhD,0,1,Urban,0
48,00557378,10297.0,0,0,0,0,10,Private,16270,1,1,SUV,no,No,0,No,63,0,15,121398,F,Yes,No,Doctor,PhD,343410,11,Urban,1
49,00568498,8767.0,0,0,0,0,48,Commercial,9280,1,1,SUV,no,No,1,No,52,0,0,0,F,No,No,Student,High School,87925,6,Rural,1
50,00574750,10554.0,0,0,0,0,22,Commercial,6450,1,1,Pickup,no,No,0,No,35,0,7,14508,M,Yes,No,Student,Bachelors,0,7,Urban,1
51,00583065,10325.0,0,0,0,0,40,Private,23080,1,1,Sports Car,no,No,0,No,43,0,13,75338,F,Yes,No,Manager,Bachelors,270555,8,Urban,1
52,00585496,9484.0,0,0,0,0,44,Private,20120,4,1,Sedan,no,No,0,No,41,0,10,32774,F,No,No,Clerical,High School,0,1,Rural,0
53,00589112,10187.0,0,0,0,0,5,Commercial,29270,4,1,Panel Truck,yes,No,1,No,40,0,11,57474,M,Yes,No,Clerical,Bachelors,186418,5,Urban,0
54,00595977,9442.0,0,0,0,0,62,Commercial,4600,6,1,Sedan,yes,No,2,No,31,1,12,26520,M,Yes,No,Student,Bachelors,154493,5,Urban,0
55,00609510,10366.0,2,2981,0,0,35,Commercial,19450,6,1,SUV,no,No,5,No,47,0,8,18444,F,Yes,No,Student,High School,0,-2147483648,Urban,0
56,00614132,9085.0,0,0,0,0,36,Private,29230,10,1,Sedan,yes,No,0,No,53,0,-2147483648,107259,M,Yes,No,Professional,Masters,343700,15,Urban,0
57,00657337,9533.0,0,0,0,0,33,Private,4040,6,2,SUV,no,No,0,No,39,3,7,34046,F,Yes,No,Clerical,High School,183383,5,Rural,0
58,00674808,10261.0,0,0,0,0,40,Private,12270,18,2,Sedan,yes,No,3,No,33,3,14,32364,M,Yes,No,Clerical,<High School,152894,1,Urban,0
59,00676466,9854.0,0,0,0,0,10,Private,31930,1,1,Sedan,yes,No,0,No,59,0,5,106775,M,No,No,Lawyer,Masters,-2147483648,-2147483648,Urban,1
60,00680397,9030.0,0,0,0,0,24,Commercial,23450,1,1,Sedan,no,No,2,No,42,0,-2147483648,52988,M,Yes,No,Blue Collar,High School,176275,11,Rural,1
61,00686939,9564.0,1,26104,6100,0,20,Commercial,12230,4,1,Pickup,yes,Yes,13,Yes,40,0,11,16989,M,No,No,Blue Collar,<High School,0,6,Urban,0
62,00687859,8863.0,0,0,0,0,29,Private,14480,1,3,Sedan,yes,Yes,2,No,41,2,7,17755,F,No,Yes,Clerical,<High School,148815,1,Urban,1
63,00693420,10646.0,0,0,6195,1,62,Commercial,9360,4,2,Sports Car,no,No,0,Yes,37,2,13,-2147483648,F,No,Yes,Blue Collar,High School,0,-2147483648,Urban,0
64,00696991,10672.0,2,2045,0,0,15,Private,10700,6,2,Sedan,no,No,2,No,36,3,12,56048,M,Yes,No,Lawyer,Masters,137836,16,Urban,0
65,00715790,9158.0,1,7838,8841,0,37,Private,10520,1,2,SUV,no,No,1,Yes,44,2,15,16352,F,Yes,No,Home Maker,High School,134164,1,Urban,1
66,00723926,10385.0,0,0,0,0,30,Private,21770,13,3,Sedan,yes,No,0,No,56,0,16,44760,M,Yes,No,Manager,Bachelors,164852,6,Urban,0
67,00734120,9229.0,2,27877,2117,1,50,Private,32340,6,2,Van,no,Yes,0,Yes,45,1,14,63952,F,Yes,No,Lawyer,Masters,196368,13,Urban,0
68,00743654,9788.0,0,0,1230,0,26,Private,14690,4,3,Sedan,yes,Yes,0,Yes,34,3,12,22510,M,Yes,No,Clerical,High School,123888,1,Rural,0
69,00746346,10688.0,5,1554,0,0,14,Commercial,28560,13,2,Panel Truck,yes,No,1,No,48,0,-2147483648,-2147483648,M,Yes,No,Professional,Bachelors,252896,10,Urban,0
70,00748557,10709.0,0,0,3532,1,24,Private,14220,4,1,Sedan,no,No,0,Yes,44,2,-2147483648,24060,M,No,Yes,Clerical,Bachelors,0,10,Urban,0
71,00751598,10201.0,3,7896,866,0,46,Private,6880,13,1,SUV,no,No,0,Yes,33,4,12,20822,F,Yes,No,Home Maker,High School,76022,1,Urban,0
72,00754648,9564.0,0,0,0,0,20,Private,10040,4,1,SUV,no,Yes,0,No,32,3,14,54968,F,Yes,No,Professional,High School,146784,8,Urban,0
73,00781399,10716.0,3,24767,7786,0,13,Private,2920,4,2,Sports Car,no,Yes,2,Yes,34,0,8,14194,F,No,No,Clerical,<High School,87034,10,Urban,0
74,00783846,10119.0,0,0,0,1,35,Private,22690,10,2,Pickup,no,No,2,No,38,4,12,2149,F,Yes,No,Home Maker,<High School,72889,1,Urban,0
75,00790317,10084.0,0,0,5426,0,43,Private,9730,5,1,SUV,no,No,4,Yes,35,2,12,-2147483648,F,No,Yes,Blue Collar,<High School,0,4,Urban,0
76,00796491,8915.0,1,25276,0,2,27,Private,1500,4,1,Sports Car,no,No,8,No,44,2,14,45576,F,Yes,No,Blue Collar,<High School,156623,-2147483648,Urban,0
77,00807192,9889.0,3,8890,4148,2,29,Private,19510,1,1,Sports Car,no,No,0,Yes,43,3,11,137103,F,No,Yes,Manager,Masters,0,15,Urban,1
78,00809783,8947.0,2,34351,0,0,31,Commercial,33710,3,1,Panel Truck,no,Yes,2,No,49,0,9,-2147483648,M,No,No,Unknown,PhD,0,18,Urban,0
79,00812299,9856.0,0,0,0,0,13,Private,14050,3,1,Sedan,no,Yes,2,No,46,0,10,79538,F,No,No,Manager,Bachelors,0,11,Urban,0
80,00813563,9888.0,3,4307,0,0,28,Private,10250,1,3,SUV,no,No,6,No,45,1,11,185836,F,Yes,No,Lawyer,PhD,509115,20,Urban,1
81,00825520,8817.0,0,0,0,0,22,Commercial,33320,4,1,Panel Truck,yes,Yes,1,No,46,0,14,-2147483648,M,No,No,Unknown,Masters,397661,12,Urban,0
82,00838306,9631.0,2,25106,0,0,30,Commercial,10910,13,2,Pickup,yes,No,0,No,45,0,11,61931,M,Yes,No,Unknown,Masters,213530,-2147483648,Urban,0
83,00891607,10429.0,0,0,0,0,40,Commercial,23230,6,2,Panel Truck,yes,No,1,No,48,0,9,61509,M,Yes,No,Unknown,Masters,195438,17,Urban,0
84,00939726,9943.0,0,0,0,0,11,Private,27600,1,1,SUV,no,No,0,No,63,0,9,74426,F,No,No,Doctor,PhD,0,18,Urban,1
85,00944837,9659.0,0,0,0,0,9,Private,23640,6,1,Sedan,no,No,0,No,44,0,9,74722,F,Yes,No,Professional,Bachelors,231034,1,Urban,0
86,00951364,10501.0,0,0,2371,1,25,Private,1500,1,1,Sedan,yes,No,2,Yes,45,2,11,102393,M,No,Yes,Professional,Bachelors,0,11,Urban,1
87,00976455,9321.0,2,42342,4178,0,57,Private,9170,4,1,Sports Car,no,Yes,2,Yes,62,0,15,40656,F,Yes,No,Clerical,High School,208242,7,Urban,0
88,00978891,8835.0,2,8363,0,0,50,Private,8660,3,1,Sports Car,no,No,3,No,48,0,0,0,F,Yes,No,Home Maker,High School,98920,-2147483648,Urban,0
89,00979487,10020.0,1,2718,4804,1,43,Commercial,5200,1,1,SUV,no,No,1,Yes,37,2,12,-2147483648,F,Yes,No,Blue Collar,Bachelors,205211,3,Urban,0
90,00984293,9113.0,0,0,0,0,49,Private,4860,10,4,Sports Car,no,No,0,No,35,0,-2147483648,29371,F,No,No,Clerical,<High School,0,1,Urban,0
91,00998646,9201.0,1,1212,1354,0,14,Commercial,9640,13,3,Pickup,no,No,4,Yes,48,0,12,31773,M,Yes,No,Clerical,High School,165090,1,Urban,0
92,01009383,10656.0,1,8350,0,0,27,Private,10850,1,1,SUV,no,No,2,No,39,0,11,33727,F,No,No,Clerical,Bachelors,0,12,Urban,1
93,01010844,10715.0,1,9115,0,0,42,Private,6400,10,1,SUV,no,No,6,No,49,0,0,0,F,Yes,No,Professional,Masters,159389,14,Urban,0
94,01026106,9315.0,0,0,0,0,35,Commercial,22050,10,1,Sports Car,no,No,0,No,44,2,15,139330,F,No,Yes,Blue Collar,High School,316900,1,Rural,0
95,01033809,9620.0,0,0,0,0,42,Private,22830,1,1,Sedan,no,No,0,No,50,0,13,163296,F,No,No,Lawyer,PhD,447616,14,Rural,1
96,01041542,9718.0,0,0,0,0,50,Private,12380,13,2,Sedan,no,No,0,No,30,1,10,17455,F,No,Yes,Blue Collar,<High School,140978,6,Rural,0
97,01048607,9584.0,0,0,0,0,61,Private,14000,6,5,Sedan,no,No,0,No,54,0,-2147483648,71007,M,Yes,No,Manager,Bachelors,240833,11,Urban,0
98,01049545,10024.0,2,3157,0,0,41,Commercial,17470,10,1,Van,no,No,5,No,38,0,0,0,M,Yes,No,Student,High School,0,6,Rural,0
99,01052895,10059.0,0,0,2425,0,32,Commercial,13140,1,1,SUV,no,No,4,Yes,53,0,6,38036,F,Yes,No,Blue Collar,High School,153381,1,Urban,1
100,01067689,10334.0,0,0,0,0,21,Private,15360,1,2,SUV,no,No,0,No,53,0,13,41199,F,No,No,Manager,Bachelors,150933,8,Urban,1
101,01076244,9967.0,0,0,0,0,15,Private,15160,6,2,Sedan,no,No,0,No,29,1,10,38042,M,No,Yes,Professional,High School,202967,1,Urban,0
102,01088400,9365.0,0,0,0,0,23,Private,10620,6,2,Pickup,no,No,0,No,58,0,11,91223,M,No,No,Lawyer,Masters,0,-2147483648,Urban,0
103,01101731,8811.0,0,0,0,0,5,Private,19380,6,2,Sedan,no,No,0,No,55,0,7,45787,F,Yes,No,Lawyer,Masters,173196,13,Urban,0
104,01103124,9372.0,2,969,0,0,21,Commercial,5760,1,1,Pickup,yes,No,6,No,55,0,-2147483648,84964,M,Yes,No,Blue Collar,Bachelors,227091,11,Urban,1
105,01111136,8651.0,0,0,0,0,28,Private,16220,4,1,SUV,no,No,0,No,56,0,8,38240,F,Yes,No,Clerical,High School,190675,-2147483648,Rural,0
106,01111239,8562.0,0,0,0,0,36,Private,8750,4,2,Sports Car,no,No,0,No,39,2,0,0,F,Yes,No,Home Maker,High School,69369,8,Urban,0
107,01117787,10083.0,0,0,0,2,28,Private,21790,6,4,Sedan,yes,No,2,No,44,2,13,142588,M,Yes,No,Manager,Masters,365256,9,Urban,0
108,01128049,10130.0,2,759,0,0,36,Private,18110,1,1,Van,yes,No,3,No,34,0,11,51565,M,No,No,Lawyer,Masters,0,15,Urban,1
109,01153652,10445.0,2,1800,5711,0,25,Private,11740,9,1,SUV,no,No,2,Yes,34,3,0,0,F,Yes,No,Home Maker,High School,66358,1,Urban,0
110,01156161,9880.0,3,31695,0,0,24,Private,13800,7,2,Sedan,yes,Yes,4,No,36,0,11,105384,M,Yes,No,Professional,Masters,267509,17,Urban,0
111,01175450,10715.0,0,0,13105,0,59,Private,12230,4,1,Sedan,yes,No,1,Yes,41,0,10,66265,M,Yes,No,Lawyer,Masters,159276,9,Urban,0
112,01192309,8884.0,3,4678,4061,0,17,Commercial,23350,13,2,Panel Truck,yes,No,6,Yes,46,0,7,-2147483648,M,No,No,Unknown,Masters,-2147483648,17,Urban,0
113,01243423,10023.0,0,0,0,0,33,Private,13770,4,2,SUV,no,No,0,No,45,0,12,32394,F,No,No,Clerical,High School,0,1,Urban,0
114,01253235,8585.0,0,0,0,0,18,Commercial,23390,13,1,Panel Truck,yes,No,0,No,42,0,9,76226,M,Yes,No,Blue Collar,Bachelors,217920,14,Urban,0
115,01256160,8513.0,0,0,0,1,26,Private,8080,1,7,Pickup,yes,No,0,No,38,3,16,7528,M,Yes,No,Clerical,<High School,113809,8,Rural,1
116,01259373,10051.0,1,1631,7838,0,14,Commercial,15090,1,2,Sedan,yes,No,2,Yes,33,4,0,0,M,No,Yes,Student,High School,0,5,Urban,1
117,01277442,9672.0,0,0,3660,0,48,Commercial,12850,7,1,SUV,no,No,3,Yes,37,0,0,-2147483648,F,Yes,No,Student,Bachelors,73890,6,Urban,0
118,01278246,9841.0,0,0,0,1,63,Private,21690,1,2,Sedan,no,No,2,No,42,1,9,32797,F,Yes,No,Lawyer,Masters,160661,14,Urban,1
119,01306373,8576.0,2,1533,5125,0,50,Private,12840,1,1,SUV,no,No,0,Yes,47,0,11,44705,F,Yes,No,Professional,Bachelors,217885,10,Urban,1
120,01309792,9842.0,0,0,0,0,26,Private,8350,1,2,SUV,no,No,3,No,43,1,0,0,F,Yes,No,Home Maker,Bachelors,70170,7,Urban,1
121,01331376,10009.0,0,0,0,0,36,Commercial,15120,1,2,Sedan,no,No,3,No,52,0,9,68992,F,No,No,Blue Collar,Bachelors,216986,10,Rural,1
122,01344988,9678.0,1,12294,0,0,8,Commercial,30150,16,3,Panel Truck,no,No,0,No,43,0,11,132561,M,No,No,Professional,Masters,314433,1,Urban,0
123,01345594,8749.0,2,3994,5085,0,23,Commercial,14620,6,1,SUV,no,No,0,Yes,64,0,15,31738,M,Yes,No,Blue Collar,<High School,197010,1,Urban,0
124,01350586,8921.0,0,0,0,0,23,Private,11180,7,1,SUV,no,No,0,No,66,1,17,96830,M,Yes,No,Professional,Masters,325826,16,Urban,0
125,01350845,8973.0,2,7278,0,0,21,Commercial,7500,9,1,Pickup,yes,No,4,No,60,0,9,125893,M,No,No,Unknown,PhD,0,15,Urban,0
126,01351407,9308.0,1,4645,0,2,27,Private,20450,6,3,SUV,no,No,3,No,35,4,6,154577,F,No,Yes,Blue Collar,Bachelors,397868,1,Urban,0
127,01358517,9447.0,3,8882,2143,0,33,Commercial,7900,4,2,Pickup,yes,No,1,Yes,52,0,7,64014,M,Yes,No,Blue Collar,<High School,244863,5,Urban,0
128,01366964,9251.0,0,0,0,0,23,Private,13150,11,1,SUV,no,No,2,No,52,0,11,79348,F,Yes,No,Manager,High School,270032,1,Urban,0
129,01382783,10268.0,0,0,6484,0,31,Commercial,21100,1,1,Van,yes,No,0,Yes,56,2,14,192089,M,Yes,No,Unknown,PhD,471701,-2147483648,Urban,0
130,01402288,10456.0,0,0,0,1,40,Private,7050,4,2,Sports Car,no,No,0,No,38,1,7,-2147483648,F,Yes,No,Student,High School,0,10,Rural,0
131,01408765,10641.0,0,0,0,0,18,Private,12320,1,1,SUV,no,Yes,0,No,55,0,15,108152,F,Yes,No,Manager,Masters,329756,15,Urban,1
132,01421917,9473.0,0,0,0,0,48,Private,21320,1,1,Van,yes,No,0,No,47,0,14,-2147483648,M,Yes,No,Manager,Bachelors,276241,13,Urban,0
133,01440036,9424.0,0,0,0,0,14,Commercial,17550,1,1,Van,no,No,0,No,37,0,12,123520,M,Yes,No,Blue Collar,Bachelors,383731,-2147483648,Urban,1
134,01441776,9998.0,0,0,0,0,33,Commercial,29210,6,3,Panel Truck,yes,No,0,No,47,0,13,45257,M,Yes,No,Clerical,Bachelors,160051,-2147483648,Urban,0
135,01446093,9913.0,1,6224,4028,0,28,Commercial,20920,3,4,Van,yes,No,1,Yes,26,0,8,53244,M,No,No,Professional,Bachelors,0,8,Urban,0
136,01472899,8738.0,0,0,0,1,35,Private,20870,1,1,Sports Car,no,No,0,No,61,2,17,41857,F,Yes,No,Manager,Masters,169015,21,Urban,1
137,01478766,10513.0,0,0,2114,0,34,Commercial,32690,3,1,Pickup,no,No,2,Yes,41,1,8,126468,F,No,Yes,Manager,Masters,0,18,Urban,0
138,01488986,10571.0,0,0,0,3,53,Commercial,13050,5,1,Sports Car,no,Yes,0,No,40,3,9,75516,F,Yes,No,Blue Collar,High School,247673,6,Rural,0
139,01490711,8822.0,0,0,0,0,44,Private,19540,6,1,Sedan,yes,Yes,0,No,52,0,16,76954,M,No,No,Professional,Bachelors,249290,11,Urban,0
140,01500841,10106.0,0,0,0,0,21,Private,24240,6,1,Pickup,no,No,0,No,58,1,8,150352,F,Yes,No,Manager,Masters,421665,17,Urban,0
141,01501437,9256.0,0,0,0,0,14,Private,13630,1,3,Sedan,no,No,4,No,52,0,8,88560,M,Yes,No,Lawyer,Masters,244028,17,Urban,1
142,01504890,10160.0,2,867,8671,1,36,Private,5260,7,3,SUV,no,No,0,Yes,38,1,12,37580,F,Yes,No,Clerical,<High School,173495,1,Urban,0
143,01521821,10473.0,0,0,6287,0,10,Private,7930,1,1,Pickup,no,No,1,Yes,41,2,15,23344,M,Yes,No,Blue Collar,High School,147172,1,Urban,1
144,01533220,8927.0,0,0,0,0,29,Private,23640,1,3,SUV,no,No,0,No,37,0,16,43290,F,Yes,No,Blue Collar,Bachelors,158771,10,Urban,1
145,01555120,10126.0,0,0,0,0,24,Private,11220,9,1,Pickup,yes,No,1,No,48,0,10,48737,M,Yes,No,Manager,Bachelors,220264,1,Urban,0
146,01566585,9519.0,4,9526,0,0,26,Private,25100,18,1,Sedan,no,No,3,No,47,0,12,64259,M,Yes,No,Clerical,High School,202031,9,Urban,0
147,01571532,10235.0,0,0,3524,0,21,Commercial,16640,1,1,Van,yes,No,2,Yes,41,0,12,110386,M,Yes,No,Unknown,Masters,335488,14,Urban,0
148,01591464,9971.0,0,0,0,0,5,Private,12360,4,2,SUV,no,No,0,No,49,0,12,53765,F,No,No,Professional,Bachelors,0,1,Urban,0
149,01596417,10244.0,0,0,0,0,5,Private,7500,1,2,Sedan,yes,No,0,No,41,0,6,12541,M,No,No,Clerical,<High School,0,1,Rural,1
150,01597160,9127.0,0,0,0,0,40,Commercial,36120,4,2,Panel Truck,yes,No,0,No,47,0,12,104271,M,Yes,No,Unknown,Masters,265153,11,Urban,0
151,01602135,10226.0,0,0,0,0,68,Private,23610,4,2,SUV,no,No,1,No,30,2,-2147483648,26226,F,Yes,No,Clerical,High School,165178,1,Rural,0
152,01631727,10468.0,0,0,0,0,49,Private,20210,1,3,Sedan,no,No,0,No,44,1,-2147483648,67278,F,Yes,No,Lawyer,Masters,220556,16,Rural,1
153,01648964,10282.0,0,0,0,0,40,Private,16080,13,2,SUV,no,No,0,No,46,0,10,104990,F,No,No,Professional,Bachelors,306540,7,Urban,0
154,01665438,9577.0,0,0,0,0,37,Private,18160,7,1,SUV,no,No,4,No,49,0,6,89948,F,No,No,Professional,Bachelors,0,9,Urban,0
155,01668247,10346.0,0,0,0,0,35,Commercial,28180,1,3,Van,no,No,3,No,33,1,12,111427,F,Yes,No,Unknown,Masters,321483,4,Urban,0
156,01694478,9402.0,0,0,0,1,12,Private,22560,1,2,Sedan,no,No,1,No,34,3,12,29431,F,Yes,No,Clerical,<High School,143149,-2147483648,Urban,1
157,01699144,10516.0,1,37163,0,0,5,Commercial,19800,4,2,Pickup,no,No,4,No,44,0,14,44790,F,Yes,No,Unknown,Masters,205463,9,Urban,0
158,01722728,8844.0,0,0,1807,1,52,Private,19750,4,3,SUV,no,Yes,0,Yes,43,2,11,76159,F,No,Yes,Professional,Bachelors,0,-2147483648,Urban,0
159,01723619,9492.0,0,0,0,0,54,Private,18470,3,1,SUV,no,No,0,No,62,0,6,107734,F,No,No,Lawyer,PhD,0,15,Urban,0
160,01727952,8806.0,0,0,10594,0,47,Commercial,5700,11,1,Pickup,yes,No,5,Yes,42,0,0,0,M,No,No,Student,<High School,-2147483648,1,Urban,0
161,01730362,8769.0,0,0,0,0,38,Private,11160,1,1,SUV,no,No,0,No,36,2,12,25282,F,No,Yes,Clerical,High School,0,1,Rural,1
162,01755732,10237.0,0,0,0,0,24,Private,12800,7,3,Sedan,no,No,0,No,47,0,11,18549,M,Yes,No,Lawyer,Masters,116136,14,Urban,0
